id	topicIds	network	viewCount	subscriberCount	videoCount	commentCount	category	popularity
UC__Pj66OeDibNZNN__L913g	Music	None	3253022	23029	967	0	Entertainment	2
UC__PZLSRGtUQiTtvm3hPoEQ	Movies	BroadbandTV	310896	5878	144	0	Entertainment	1
UC__rmdgxs3ZF0zK_he7Tmig	Lifestyle	None	1291254	8146	294	121	How-to & Style	1
UC_-CxgsxX0tpnm24WO-797Q	Lifestyle	Maker Studios	625545	18990	67	101	How-to & Style	2
UC_1FUFB6TlGeGOyDI4ikkzg	Movies	BroadbandTV	89020205	106760	288	0	Entertainment	3
UC_1H9v258pXiyLDaW0R5exw	American football	nfl	23526135	86815	863	0	Sports	2
UC_1HVMnw-610qx54iEiWk7A	Movies	Maker Studios	64671535	747026	200	0	Education	3
UC_23cGTZrzuilpX42sHZcnQ	Action game	BroadbandTV	14171903	166959	191	0	Gaming	3
UC_2Fn6J_8D3SvpMrKUAFLOw	Music	None	20520159	192608	84	4161	None	3
UC_3gH6zKpk3aCkRkiTik5JA	Lifestyle	BroadbandTV	11777688	85150	351	7	People & Blogs	2
UC_4KYcYfcxO42VuPUNDE2Ng	Hobby	None	6413959	41480	360	0	People & Blogs	2
UC_4m_lvVnXZea59xY9trBVQ	Action-adventure game	BroadbandTV	5238308	4564	200	496	None	1
UC_5AhKtM2Ya_cc0X28hKtmA	Animated cartoon	TelevisaZEFR	4047617	7063	133	0	None	1
UC_5wTcUJzTx7aKslyLMZ04Q	Gaming	None	3761	194	17	0	None	0
UC_6QN3CBe-0EW5pGCTKzEfQ	Music	Studio71	26889789	272706	303	0	Comedy	3
UC_6T8aXCIFut01O6I1EcIrw	Food	None	17157	194	7	0	How-to & Style	0
UC_6TY1I5afGbaSZqTcHmPZA	Lifestyle	Ritual Network	78782195	74573	952	0	Entertainment	2
UC_7VhvRfrjJpLAUDgXO2P4Q	Role-playing video game	None	370074	21291	154	0	None	2
UC_9H4QOc7C9Dz1nQaQL-24Q	Technology	BroadbandTV	16289562	232569	338	0	Science & Technology	3
UC_9nApv279hr4jt_cr3K20w	Action game	Maker Studios	7738544	44858	722	28	Gaming	2
UC_9NSaTQkIFAHBznRwSBRUg	Role-playing video game	Curse	1858040	8937	564	10	Gaming	1
UC_9Rt5h1ieQYhLb452SQEoQ	Action game	AGE Network	13652436	225521	163	0	Entertainment	3
UC_a34zvSNa5qVRIl7v1ND4g	Hip hop music	None	351194	2261	161	3	None	1
UC_AC5PsByhjskq5ZxIadYeA	Strategy video game	Machinima	8966874	135886	100	881	Gaming	3
UC_aIpqQ4iMPqDA8dNNQtLqQ	Hobby	Studio71	29943608	19907	473	7	None	2
UC_ArBsYspQEQeCZEtHCCXVg	Fitness	Fullscreen	29296459	68840	42	8	Sports	2
UC_AsiL2FFq4J5kIH2PQqwVg	Music	BroadbandTV	18914215	529212	76	0	Comedy	3
UC_awtCYEt6YmwARQN5EjrUQ	Movies	None	11234	179	30	0	People & Blogs	0
UC_ayPEoDRThQY8I6vPQbXMw	Technology	Maker Studios	76519243	373522	531	30462	Science & Technology	3
UC_B0KQuiLyIFpIQp5UmWteA	Movies	Maker Studios	5658107	66641	213	5	Gaming	2
UC_b0QwK1PnJ3ldvDXDPj86Q	TV shows	Studio71	4388342	33526	334	9	None	2
UC_bEGwN2_J6KVgW_EgofOOA	Hobby	None	2803683	5398	75	0	None	1
UC_bO4R-mR4kIGZiE1NuH_WQ	Music	BroadbandTV	20019	4866	13	0	Gaming	1
UC_BSFedLt0jtXcvkpYjjzhw	Hip hop music	None	1781299	8799	67	0	Music	1
UC_c01No6K3fhgPafCUzEf6w	Action game	BroadbandTV	128775652	452479	834	0	Comedy	3
UC_CC_6NmL_p-VEUhNXvIWDw	Sports	None	26178	910	43	4	Gaming	0
UC_cVh3eGv1WUNwMQKBZHO4g	Lifestyle	Studio71	4961612	107327	99	0	Entertainment	3
UC_d04_YVBL6kDiztglP82gw	Technology	None	776172	32354	65	0	None	2
UC_DI2vuYmK3GYb2Lz8BbcDA	Role-playing video game	Curse	2736148	9882	188	87	Gaming	1
UC_DmOS_FBvO4H27U7X0OtRg	Lifestyle	None	2631641	26299	144	45	Travel & Events	2
UC_drtxXViugebE3bzqjD-Kg	Lifestyle	BroadbandTV	16337134	66186	27	0	Entertainment	2
UC_Dv-yoFuXw8dOsO0EuE0PA	Music	604 records masters	94399	923	35	114	None	0
UC_DVkYrg5uDDEjLHx4bStig	Hobby	BroadbandTV	416872922	938672	502	0	People & Blogs	3
UC_DvUKTEE4R2eJ_sBbVtVng	Lifestyle	None	114714	9093	16	69	None	1
UC_e0ql2jUdKYDK0qrJ3WLKQ	Music	Maker Studios	30256386	96083	124	0	None	2
UC_e1unNh1tbfJTQNBbcHJUA	Music	Fullscreen	50361593	141097	44	245	Music	3
UC_E46OndOC-0StvojjeZO3w	Music	None	13111960	13755	42	3	None	2
UC_e7H9vCqBzZWaQhaFLiQDg	Lifestyle	MagnoliaNetz	5276741	59945	95	2	People & Blogs	2
UC_eEaN6T59mq0l5il3Wi2tw	Gaming	BroadbandTV	4579922	9173	234	19	Gaming	1
UC_EgYetNLwxsusnWBe0SyyA	Music	None	52172	2387	18	0	People & Blogs	1
UC_F6zgai5rOF8m2JXNpFdbg	Hip hop music	None	45562513	178461	559	788	Music	3
UC_FcCY81gAb-ZLh2toR8a_g	Music	SonyBMG	16941	883	54	782	None	0
UC_fIJus8rB093eeENmG1BPQ	Gaming	None	503852	28529	16	24	None	2
UC_FJi01P2a8GGsoGpNWKgsw	Lifestyle	Maker Studios	4552099	9474	45	5	None	1
UC_g3TD1LEhCSgTI4gbQpmPA	Music	Fullscreen	18780532	291757	28	1	People & Blogs	3
UC_GIy4IHw-LShuhcjJ6n9jg	Hobby	None	150239	272	135	0	Gaming	0
UC_gV70G_Y51LTa3qhu8KiEA	Food	BroadbandTV	40733687	1435571	75	0	People & Blogs	4
UC_Gx_Wk2dZlX0ZzixUljU8Q	Music	BroadbandTV	6500542	27986	201	0	Entertainment	2
UC_hlt0tC9nsclVtHaWGhbEw	Lifestyle	BroadbandTV	28030368	883594	65	0	Comedy	3
UC_hMkZUKMwee9klTUwdePWQ	Hip hop music	None	640892	6521	96	3517	None	1
UC_Hq-NsXstRybeLK7y9G5LQ	Lifestyle	None	98379	2301	16	35	None	1
UC_I32g5fMXlLtp9_DG9j9SA	Animated cartoon	None	1826764	15455	41	16	Comedy	2
UC_I3C47_Ke_rhWH33X5RW6Q	Lifestyle	BroadbandTV	9690043	157318	311	12	How-to & Style	3
UC_i3FGKrtR0ixy4-8l_NpSA	Gaming	Curse	5838960	56955	1094	75	Gaming	2
UC_I6Sf2_OIiD1l8Qmji_7AQ	Action game	Fullscreen	1021099	18092	436	34	Gaming	2
UC_i9wJybdhNFCCfnvrjizvQ	Action game	Maker Studios	537498	8337	170	44	None	1
UC_ie-LhFOwZ9F0EbAwBSdbA	Gaming	BroadbandTV	1892	3457	3	0	None	1
UC_ihIRsO52930ywK-5bFYUg	Music	BroadbandTV	13515475	190378	451	0	Gaming	3
UC_IRYSp4auq7hKLvziWVH6w	Movies	disney	582296280	778225	395	3003	Film & Animation	3
UC_IWTPn0E0ibbvEztfPE0Pg	Action game	BroadbandTV	20070133	126675	1092	573	None	3
UC_IzLuQdaqsX36Zq_n8jskw	Music	Studio71	1433653	4883	62	0	Music	1
UC_JgNV4bfBjpq6rNgm-l6bw	Action game	Maker Studios	351268	14491	196	79	None	2
UC_JJtJVDAqQVKpP6dsPNCLw	Strategy video game	None	348489	4873	349	0	Gaming	1
UC_k-fyEZHwxjoDvdoP7AY2A	Action game	None	48692	696	104	0	Gaming	0
UC_KGDZwoTPzt_NlSMX0J5WQ	Music	None	5846819	82347	154	160	None	2
UC_KQKeg7kNrlvrIXPnpwgEA	Fashion	StyleHaul	68424546	568775	442	478	How-to & Style	3
UC_KRkaIWrj39Pr34QPiwriw	Football	BroadbandTV	23944208	223482	1413	0	Gaming	3
UC_le33vWuCdtpTyP8KJEWiA	Hobby	Freedom!	7975	2289	20	0	None	1
UC_LlEYopCq4jHsmDwaqAhkQ	Humor	Maker Studios	510973	2004	40	0	None	1
UC_lobhNftO8kxHyX98XOvAw	Action game	Machinima	420839	6849	180	10	None	1
UC_lPez-npoasT32Jiz3CyJA		BroadbandTV	7528	363	21	0	Pets & Animals	0
UC_LUwNdRtX6HHzJclPVeTrw	Strategy video game	ScaleLab	3284542	22849	49	0	Gaming	2
UC_lXvpKTvn_5BWymqwtMlAQ	Lifestyle	None	185129	2065	71	0	None	1
UC_MH4Sme5jV2nS24bDXJ15w	Music	None	2985287	21156	702	0	Music	2
UC_n9YEcHMarYJShR-e1V9Xg	Food	None	54203	916	25	0	Entertainment	0
UC_nbcVZPLa3_AndXXYQohAw	Music	Maker Studios	1266313	33606	57	0	None	2
UC_NecBigmC3GrDmiF4D0y_Q	Music	Maker Studios	29772142	372059	629	311	Gaming	3
