	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
0	220	UCq6VFHwMzcMXbuKyG7SQYIg	Gaming	"[""220"", ""11097""]"	Maker Studios	4	Action game	UCmA-0j6DRVQWo4skl8Otkiw	Entertainment	"[""2251"", ""2981"", ""2982"", ""7678""]"	Maker Studios	4		"[""khyg5YJlLPI""]"	1
1	11097	UCq6VFHwMzcMXbuKyG7SQYIg	Gaming	"[""220"", ""11097""]"	Maker Studios	4	Action game	UCCYHZKyLdUnT7BsGfCQgQ-Q	Entertainment	"[""7586"", ""7587"", ""10333""]"	Maker Studios	2	Gaming	"[""qP8HTuEu7BY""]"	1
2	5556	UClpEE-Led9ZK0GJQKvU--3Q	Entertainment	"[""5556"", ""5884"", ""7050""]"	Maker Studios	2	Football	UCIKF1msqN7lW9gplsifOPkQ	Entertainment	"[""12627""]"	BroadbandTV	3	Music	"[""On4GE5hAU8s""]"	1
3	5556	UClpEE-Led9ZK0GJQKvU--3Q	Entertainment	"[""5556"", ""5884"", ""7050""]"	Maker Studios	2	Football	UCcLLDqqgjHoFaNkNdIrf_FA	Gaming	"[""4139"", ""8817"", ""8818"", ""11763"", ""12363""]"	OmniaMediaCo	3	Football	"[""hAvpa3iyrsM""]"	1
4	5556	UClpEE-Led9ZK0GJQKvU--3Q	Entertainment	"[""5556"", ""5884"", ""7050""]"	Maker Studios	2	Football	UC3M4u8_WwqY-2xDbJXxo5eQ	Gaming	"[""7049"", ""11244""]"	OmniaMediaCo	3	Sports game	"[""4cEkXTIcvH4"", ""_kOwJy1fOuQ""]"	2
5	10681	UCZApDB9BW7ZjNcPb3Wu7rRg	Entertainment	"[""7896"", ""8755"", ""9958"", ""10681""]"	None	3	Food	UCU1nH5X8eC0aD3PkveRjjgw	Gaming	"[""5641"", ""7573"", ""9071"", ""9991"", ""10826""]"	Maker Studios	2	Strategy video game	"[""WvCaYRRL9F8""]"	1
6	6135	UCMDz09-3zO1hm1pqRA-Er0A	Entertainment	"[""6135""]"	BroadbandTV	3	Lifestyle	UC3fxB7rF6T7wqymKUJxwmXA	Entertainment	""""""	BroadbandTV	3	Lifestyle	"[""C7Waq5ZgqGU""]"	1
7	10352	UC_GIy4IHw-LShuhcjJ6n9jg	Gaming	"[""8293"", ""8443"", ""10352"", ""12079"", ""12975"", ""13430""]"	None	0	Hobby	UCE6yrKCbfZ-C-8Sbl1LoYhg	Gaming	"[""3267"", ""11183"", ""12231""]"	BroadbandTV	3	Strategy video game	"[""VNXJbRvu8zE""]"	1
8	12975	UC_GIy4IHw-LShuhcjJ6n9jg	Gaming	"[""8293"", ""8443"", ""10352"", ""12079"", ""12975"", ""13430""]"	None	0	Hobby	UC5l6twzfConuZFkGA_GYrtw	Entertainment	""""""	Maker Studios	2	Hobby	"[""2LAQMtZKpw8"", ""KxWE0NJ96eg"", ""hnbtt8DTrXI"", ""pz8DhJZxbhQ""]"	4
9	1367	UCUcBFGAfOzut1x4GSWa6Akg	Entertainment	"[""1367"", ""4731"", ""6760""]"	Maker Studios	3	Music	UCCk_JV7ar8HlxWZRXQKgS7w	People & Blogs	""""""	BroadbandTV	2	Lifestyle	"[""RJir4ghyTDo""]"	1
10	7444	UCi7TVXyvrIwqeS9tfYD8UDA	Gaming	"[""7444"", ""11855""]"	BroadbandTV	4	Football	UCvGiJYBPgVP7W1ypE3DKOqA	Gaming	"[""6213""]"	Machinima	4	Strategy video game	"[""bWtjQIbp08c""]"	1
11	13426	UCLFTOcssnu2LGS3FxGA5tsQ	Entertainment	"[""13367"", ""13374"", ""13426""]"	None	3	Hobby	UCOPYJ7o7p-i5xT6pvlX-7ng	Entertainment	"[""13377""]"	ScaleLab	3	Hobby	"[""Vur2PfNlI_Q""]"	1
12	13426	UCLFTOcssnu2LGS3FxGA5tsQ	Entertainment	"[""13367"", ""13374"", ""13426""]"	None	3	Hobby	UC7Rrbm84x8RK0OkKlHpmiUQ	Entertainment	"[""10881"", ""11845"", ""12304"", ""13432""]"	BroadbandTV	4	Hobby	"[""dB50g5a1Dx8""]"	1
13	8407	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCTvRo7ZqONvaTvh0lG2UYxA	Music	"[""5052"", ""5740"", ""6493"", ""7682"", ""8921"", ""10117"", ""10971"", ""12900""]"	BroadbandTV	3	Hip hop music	"[""EQtp4c2QBqk""]"	1
14	12758	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCD3_qHEhy1nPls0l2NZhCEA	Comedy	"[""7338""]"	Studio71	3	Music	"[""syFKneGDzEQ""]"	1
15	10243	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCVKWNQ_bjvwberVcQOhYa0A	Comedy	"[""764""]"	Maker Studios	3	Entertainment	"[""AVNlxjv7Yvo""]"	1
16	10243	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCVyM1Zknz3u2hGLAN2NVtZg	Comedy	"[""4389"", ""7227"", ""7888"", ""8436"", ""8774""]"	BroadbandTV	4	Music	"[""9Ewtl2sASU4""]"	1
17	5191	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCJitJPaU9ClQ7ivDKEzLNuA	Gaming	"[""13155""]"	None	2	Gaming	"[""3WIrb4FvjhI""]"	1
18	292	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCCj6vOkV7fosYcBf6fXiYpw	Music	""""""	Freedom!	3	Music	"[""dRDEBaMa2YA""]"	1
19	13216	UCo9ExXwpxwBaYRM4mkD_J4A	Music	"[""292"", ""5191"", ""8407"", ""10243"", ""12758"", ""13216"", ""13801""]"	BroadbandTV	2	Hip hop music	UCj3ygUfAdUPlbaXrmjEYWfQ	Gaming	"[""10043"", ""10045"", ""10046""]"	BroadbandTV	3	Sports game	"[""LSj5HI2qesw""]"	1
20	2202	UCzNq9i-DlDDBLjPerVzJW-A	Comedy	"[""2202""]"	None	3	Music	UCtWoDeegvTPfuuNm_ilJntg	Comedy	"[""5801""]"	Maker Studios	3	Humor	"[""ECbwCuN-5FE""]"	1
21	4509	UCjtLOfx1yt1NlnFIDyAX3Ug	Gaming	"[""4509""]"	OmniaMediaCo	4	Football	UCispvoHvINRUT3g8EgPWguA	Sports	"[""4109"", ""4214"", ""4524"", ""6313"", ""7487"", ""7770""]"	Maker Studios	3	Football	"[""0Fj5uDNGyg8""]"	1
22	4509	UCjtLOfx1yt1NlnFIDyAX3Ug	Gaming	"[""4509""]"	OmniaMediaCo	4	Football	UCfNWN9s_s8kRTCadk04WWJA	Gaming	"[""4093"", ""12107""]"	OmniaMediaCo	4	Football	"[""8NGNWUcjmxQ""]"	1
