	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
0	4806	UCw-hc7ZJummS0AvWyjUX56A	Sports	"[""3102"", ""4806"", ""12796""]"	None	3	Fitness	UCWYtZYH4kcbMm29liIOSGQQ	Sports	"[""2996"", ""3143"", ""5232"", ""7762""]"	BroadbandTV	3	Sports	"[""Q-Z7QYkqn2M""]"	1
1	5556	UClpEE-Led9ZK0GJQKvU--3Q	Entertainment	"[""5556"", ""5884"", ""7050""]"	Maker Studios	2	Football	UCIKF1msqN7lW9gplsifOPkQ	Entertainment	"[""12627""]"	BroadbandTV	3	Music	"[""On4GE5hAU8s""]"	1
2	5556	UClpEE-Led9ZK0GJQKvU--3Q	Entertainment	"[""5556"", ""5884"", ""7050""]"	Maker Studios	2	Football	UC3M4u8_WwqY-2xDbJXxo5eQ	Gaming	"[""4139"", ""7049""]"	OmniaMediaCo	3	Sports game	"[""4cEkXTIcvH4""]"	1
3	6135	UCMDz09-3zO1hm1pqRA-Er0A	Entertainment	"[""6135""]"	BroadbandTV	3	Lifestyle	UC3fxB7rF6T7wqymKUJxwmXA	Entertainment	""""""	BroadbandTV	3	Lifestyle	"[""C7Waq5ZgqGU""]"	1
4	1367	UCUcBFGAfOzut1x4GSWa6Akg	Entertainment	"[""1367"", ""4731"", ""5365"", ""6760""]"	Maker Studios	3	Music	UCCk_JV7ar8HlxWZRXQKgS7w	People & Blogs	""""""	BroadbandTV	2	Lifestyle	"[""RJir4ghyTDo""]"	1
5	7858	UC9Q0dAjbhv0FbwvoHRSmjxA	How-to & Style	"[""5824"", ""5825"", ""7858""]"	Maker Studios	4	Hobby	UCXodGGoCUuMgLFoTf42OgIw	Entertainment	"[""5965"", ""10225"", ""13088"", ""13394""]"	None	2	Hobby	"[""z63XGfhgnCs""]"	1
6	5824	UC9Q0dAjbhv0FbwvoHRSmjxA	How-to & Style	"[""5824"", ""5825"", ""7858""]"	Maker Studios	4	Hobby	UCY26xU0-avwTJ6F6TzUZVEw	Film & Animation	"[""2073"", ""2460"", ""5912"", ""6667"", ""6831""]"	DreamWorksTV	4	Movies	"[""DdUV2Yh53Ws""]"	1
7	5825	UC9Q0dAjbhv0FbwvoHRSmjxA	How-to & Style	"[""5824"", ""5825"", ""7858""]"	Maker Studios	4	Hobby	UCdwudRKMOrpS08Q33JWpv7A	How-to & Style	""""""	Maker Studios	3	Hobby	"[""05qV0QMFYW0"", ""j4w9eaCwa3U""]"	2
8	13426	UCLFTOcssnu2LGS3FxGA5tsQ	Entertainment	"[""13367"", ""13374"", ""13426""]"	None	3	Hobby	UCOPYJ7o7p-i5xT6pvlX-7ng	Entertainment	"[""13377""]"	ScaleLab	3	Hobby	"[""Vur2PfNlI_Q""]"	1
9	13426	UCLFTOcssnu2LGS3FxGA5tsQ	Entertainment	"[""13367"", ""13374"", ""13426""]"	None	3	Hobby	UC7Rrbm84x8RK0OkKlHpmiUQ	Entertainment	"[""10881"", ""11845"", ""12304"", ""13432""]"	BroadbandTV	4	Hobby	"[""dB50g5a1Dx8""]"	1
