	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight	from_title	to_title
652	7556	UC-NINtNMPM75eaqh07RCy_Q	Education	"[""5975"", ""7556""]"	BroadbandTV	3	Lifestyle	UCIZSqPHF-R9m3X5o0VPKFdg	Entertainment	""""""	BroadbandTV	3	Music	"[""-Jv05TOPF-E"", ""-utE0nRpzAc"", ""18acDy-xdYg"", ""1VwTBktjPJM"", ""269ndZOIu0c"", ""2DQ1VGlDMwg"", ""2PuMC-nFfus"", ""4m4tQk9riAc"", ""5h14Rnp1MNU"", ""66RVY02a_Fo"", ""7ZjKkLUinlQ"", ""9N3jVT8tSdU"", ""9o44D2Y3w8A"", ""9povR-5dEd8"", ""9sQHIZAFbMA"", ""AaZRParl50Y"", ""Abtd9rlL87s"", ""B6Q4YbGx9cs"", ""BqaykrXIEPg"", ""C05xJ1VN9ws"", ""DOBQRtcQMzA"", ""DTCcXLqCEI4"", ""EHvIcUoj4Ic"", ""EWszE1cRG7U"", ""F9IAnTh3L_M"", ""FDP0H9W8P0U"", ""FZoxApMSQ6Y"", ""I031Q_GMgbc"", ""I2Hsjwpk1LY"", ""ISL6ATMSLjU"", ""L8kdW_MQCjI"", ""LjiTCXy-EGI"", ""MLofOvddzl0"", ""MTR4bCtIvFw"", ""N_fFQtQYw_0"", ""Nt9KmzSZ1ic"", ""O2RSJ-CpIds"", ""OSGrqttgdwo"", ""OezA_Km73Cg"", ""Ori6OWL7HII"", ""P4TTzYK2hhE"", ""PHo3u40Wr48"", ""PP0BDQm3X-0"", ""PS5z2OvcpkM"", ""PdG_zgYC8Uw"", ""THAc0hDPvBg"", ""TLf3A1L3tLo"", ""Tr7ZfnqjmjA"", ""VGcV-0LQpaU"", ""W1eyFRYGq1Y"", ""W8924_aGwJs"", ""WQNaafmI-vc"", ""WbY_xciaDJA"", ""Wg59arPxR_w"", ""Wr_kyu3jAUc"", ""WzGog00wNwM"", ""X3WD_4HPNFY"", ""X6FFgZgjOGg"", ""XH_-GTaHM7c"", ""XKH4i_X0Sd8"", ""XuRwdfwx8F0"", ""Y2LSBtt8FKI"", ""ZDnqyRHP8GM"", ""Zap9UXPgBmk"", ""ZpbOg998cfw"", ""ZvvkXBLlcoQ"", ""_GZEemVU9ww"", ""_RcnDXGNRrQ"", ""bMjtrtc92eA"", ""bR8XKDRDdDo"", ""c3UoxPX6Crw"", ""cYAgSqJ6AyA"", ""eketAKQ4jCk"", ""g09m6uVqK-M"", ""g6eZHHwxUBE"", ""gAJXxeUHGIs"", ""gZ0QaMxCnvI"", ""h4FXjd7gyVU"", ""i-AUzfS8AdQ"", ""jcdU-aRaFvw"", ""kCKn1Q2RYrU"", ""khhIsShNRDY"", ""lAGSdqdCo-c"", ""lnwYvvRxnAw"", ""loDcXL-_NcQ"", ""m1DJ8fW2Osk"", ""m2iY6n0E9tA"", ""mEZbGGdBUag"", ""mKAb8ZEXIzs"", ""mVPdYd2vc6Y"", ""nh5b_sP7iTY"", ""o4-Ci22Rg5o"", ""pDAeHupt4uA"", ""pFO_t6uILmQ"", ""pb3yf7dz3QQ"", ""puS9fyoWMpE"", ""q47cXqBmiJI"", ""qoefXpK6BOY"", ""r0YThxpHQzM"", ""rfy1E1Ja_7w"", ""szlG03XSrIw"", ""u-qMnxCQO48"", ""uW145VVjOKI"", ""vkLxUD_wtXo"", ""vq_t5FV7MTM"", ""vqtFXotK5xg"", ""wj8LecHuHgk"", ""wkyQzfg-liQ"", ""xiBoMafAAvQ"", ""xw4cH2d20ZA"", ""yCkyjboRyFg"", ""yYbMQ59swNE"", ""ysCiUMZVrWM"", ""yzrSkgJolHc"", ""z88RF1U_KD8"", ""ze2zFXruPwo"", ""zlizmFBTI8g""]"	117	InformOverload	iO Trendz
1252	4811	UCoKGanMmrKj8RAqAwS5vRug	People & Blogs	"[""4811"", ""4812"", ""6126""]"	None	2	Lifestyle	UCBINYCmwE29fBXCpUI8DgTA	Education	"[""5264"", ""8709""]"	BroadbandTV	4	Lifestyle	"[""0skRikrf1iY"", ""1XolsDVcjFo"", ""3dORV_XDoYY"", ""4SwrS5Wn3yc"", ""6IiJGRbDN1I"", ""6UmHDDETOgU"", ""97UnCMI2QH0"", ""9ZvUguUNUm8"", ""A8ibhixGDK0"", ""CS3GCaVSXyY"", ""DIla0bXDHa8"", ""F0iK3mtCKHc"", ""FEU3cphbAUk"", ""GMh4qRB0Zu4"", ""GXlaiwNZkF4"", ""Gt8XWZQMuA0"", ""HmtvSBCbZLM"", ""Hq0daN8LVyQ"", ""IMEc_TtGO3Y"", ""LdvJ591PyrQ"", ""MWw_hW38G3c"", ""NXBZ6bhKXjs"", ""Oa5L4upHk8s"", ""P-XXCeiKxug"", ""QSE-xD67sMY"", ""TZFJnQ4tyKw"", ""TvbLumCP0No"", ""TwSZb0zPmxc"", ""W7lfQ7Qu8rg"", ""XYhiVADfHi8"", ""_4FLuPF81wo"", ""bJOSUXFU0X8"", ""bMhNjuTeV-Y"", ""cCAmt6UI9cY"", ""cwLcBfPsbik"", ""hRl5W9cXUjk"", ""hc9wXhJPYUI"", ""iQdOxSLnsfU"", ""mHWhXpnocls"", ""n8iBl4soB9c"", ""o317BjWNi9c"", ""pd6J0qfUIkQ"", ""qL-PJUmzRBQ"", ""r8zZrlBJzrM"", ""ua5oOETrQcc"", ""ua5qV1KOPm8"", ""v2xp9UdoXhg"", ""vZOXOC10cBM"", ""wlQRNK_J3RY"", ""wxzUUuL58uw"", ""zX42MAs0vPo""]"	51	LandonProduction Vlogs	MostAmazingTop10
1321	252	UCz_BJGTYrM4ntr7vsrsjfLw	Entertainment	"[""252""]"	BroadbandTV	2	TV shows	UCcsja3nlq2R1belenHR0j0Q	Entertainment	""""""	BroadbandTV	2	Movies	"[""0fT0zyjSqzw"", ""0xKDMrL1wf0"", ""1JM6OhJNM4M"", ""1OjnqviWEtg"", ""2Op61wuZYH0"", ""4k2eFGbxP1s"", ""4mxgkLOD_mU"", ""5U-MUpByxxo"", ""83BZfU51Cm4"", ""83QLAPFUpLg"", ""876LfhNvAFI"", ""AWPNwkGTUCo"", ""BYplqNbDxV8"", ""CrrrSu3NMi8"", ""D1xAx9krLRI"", ""G6acT3c6qTs"", ""JC-K5c4LjPM"", ""JjmSe5RCR34"", ""LXEScKFUoDk"", ""LpyX_yrdudU"", ""NK9upELhyKQ"", ""P2ucnyhNOXE"", ""PhaeWPaP2KQ"", ""Qvk5Fw0X6sQ"", ""TpG0BRFJsFo"", ""UXD5XGSzEKA"", ""Uk7NW0jmiFA"", ""VB5FDS0fBnM"", ""WOXQWD4v_04"", ""YOOFGiAyVGc"", ""ajSeH9GBo5E"", ""djv4_SBjXAw"", ""edB2IjKacyo"", ""euc03WAKDlk"", ""evuCh-OF0sg"", ""f-yF-BeUm0w"", ""gQtZSR8Yg88"", ""kV8C9Wt1KvE"", ""kmQZ5HPibiE"", ""pVRl3qlJQPg"", ""q2GQkeMG6ZI"", ""quT8RaisWAQ"", ""sd0aMKOARnI"", ""twLtV-uvE4M"", ""uXo42PENs9A"", ""vx9PJ3DxwF8"", ""vxZ5wgXVgEI"", ""wI9OI5EVJD0"", ""wJNAkF0aBKA""]"	49	FilmRise	FilmRise Documentaries
574	8617	UCzpCc5n9hqiVC7HhPwcIKEg	Entertainment	"[""1019"", ""8311"", ""8617"", ""13796""]"	Studio71	4	Music	UC4PooiX37Pld1T8J5SYT-SQ	Entertainment	"[""4933"", ""7600"", ""13327""]"	Studio71	5	Music	"[""2U_V89T5JEw"", ""2_hYfClYvxg"", ""5TPdzYhq4Kw"", ""6p0qaIHMNK0"", ""BKE40huA9cM"", ""CNz3f6uADbA"", ""EK5IRZSDwGo"", ""HDpkWkA3CLc"", ""IeGA7tsmTw8"", ""KUqYO3e4wyg"", ""MAAEIoUADD8"", ""MJfKmx7nkCg"", ""N3nd-srTdek"", ""NRXUlPXBKu0"", ""NZrYrNX6Fx4"", ""NgnAtXeGVrs"", ""PIP-uP9HSs4"", ""PNKWcF7Zd7U"", ""RyrFMdYoJLg"", ""SWoYcxYipBk"", ""So8nq6jWyeI"", ""UFdtRKJ1kiM"", ""UTpSOK-fWuM"", ""VDa71YqdV7s"", ""WGT4luAur2o"", ""XSioQUA8hLc"", ""ZW8hN2fsE08"", ""_P5VcMlMSOI"", ""__ck7cEj20Y"", ""bhdZmR0CJJo"", ""cz96vPCZSWo"", ""d6nrXzuS5Yc"", ""dXlZqZ-ngzU"", ""dfDsiaDKxRk"", ""gOgKC-LqQdQ"", ""hsoZlRNq0-A"", ""jqZo60QYpLs"", ""nP_ScRa7uBU"", ""p3Hpg67Chmc"", ""pgH67V_AucY"", ""rH245wRWyFU"", ""rWUx8F7CGq8"", ""rmpFtK_5g98"", ""rqMPkxpVyVM"", ""tn2nsJAfDfQ"", ""wEhcHGQIlOY"", ""xwCC25iR5kg"", ""ybC55ksHVsc"", ""zo_ScX_UDQw""]"	49	Good Mythical MORE	Good Mythical Morning
1322	252	UCz_BJGTYrM4ntr7vsrsjfLw	Entertainment	"[""252""]"	BroadbandTV	2	TV shows	UCU4BHh9Dwfd7-I_xTZ5037Q	Entertainment	""""""	BroadbandTV	2	TV shows	"[""-SOf0euDgrk"", ""-T7AkXnywho"", ""18RbTA8WPEA"", ""30KJmPGA9ts"", ""4Z80w3Hy79A"", ""501-WD7DXdw"", ""7I2OjeA_AV8"", ""8O8Ljh5rS-I"", ""9DU9a5YJfw0"", ""9jzURu1zclg"", ""DExJxEKlH6s"", ""E5RXZ6b2Pcw"", ""EDeD5lTskZI"", ""EpTLdAk8IFQ"", ""FDfKDCw5eus"", ""FYw5RoZXoy0"", ""HXnY78u-hC0"", ""IKBsOW7Iick"", ""Idh-YO_46Lg"", ""IjuSgqEyr2I"", ""K_PdwhGFE0U"", ""NJppNHR9RgY"", ""OIx9Y86rPz4"", ""POZn_114kp4"", ""SPQLdmWmc1Y"", ""Td9KhYWpQ6U"", ""UShkvIouiQc"", ""UZDGbM-jj3w"", ""_-iHEZRtJ-s"", ""aVly1kuoi2Y"", ""ajdZRm8bbCY"", ""bxAmx7nK2F8"", ""c6yNyj0rr5Q"", ""dgbTJRL0q8Q"", ""gMlXPLp1L6E"", ""gRdaJwf6_-A"", ""h3GUYwlE4ps"", ""hGkBcrsEQ7s"", ""j0d_S4YRNAQ"", ""kk9pHGSY3vU"", ""n1Z9dpcpj-o"", ""nqLdo0zJahY"", ""qXXBkecRyMI"", ""sYY-sKWH6hw"", ""taFJPWicoqs"", ""u3KlDKM5E7w"", ""yQQ_MromSiY"", ""yaVqT3J-r4o""]"	48	FilmRise	FilmRise True Crime
443	13327	UC4PooiX37Pld1T8J5SYT-SQ	Entertainment	"[""4933"", ""7600"", ""13327""]"	Studio71	5	Music	UCzpCc5n9hqiVC7HhPwcIKEg	Entertainment	"[""1019"", ""8311"", ""8617"", ""13796""]"	Studio71	4	Music	"[""-lctE_6tf8s"", ""0OzX00T6ql0"", ""4G6gAdU3zeg"", ""5iuTtnRETek"", ""6A4xaP24sIQ"", ""82QRomZId5M"", ""8a-YoTor00E"", ""B5OcPoPT970"", ""BwlQbp8C-pc"", ""CN0X2s6t-C0"", ""GaO6BbTxzoE"", ""GwSTuE30xYI"", ""JAXuhhDaXPM"", ""L8dkNBfiCaM"", ""LT8vuA0VMrA"", ""LeEX-OQZi5k"", ""LsRANYurCSs"", ""MShx68KLPEU"", ""NY5QHziCPV0"", ""RtInIVb-KpA"", ""SlvXZhi9SB0"", ""TFCu_iiQuzU"", ""V8UEDa0Nx1g"", ""WLtn5DUg560"", ""WvOrSIFHOd4"", ""XcGWHrLRTYI"", ""cZaKjJFPdLs"", ""co1vXpdjv0E"", ""deLXrs2ZV5c"", ""eJVYSS5k__U"", ""hpRfR4Yv8bw"", ""iLfR3wDStuA"", ""jTdFRGMWcSo"", ""kCrmeYMdhlw"", ""lfbZdsZ6Tns"", ""lqFha3DAFMc"", ""mdiNKSbK-lM"", ""nWj5wSP21js"", ""nlxGQVTzXo0"", ""s3zyp4wWMeM"", ""uRIctvHKgnU"", ""vN0V6scFsuI""]"	42	Good Mythical Morning	Good Mythical MORE
1490	4807	UC2k2x0gsgTYxqIkxQGe8hmQ	Comedy	"[""4807""]"	None	4	Lifestyle	UCBEsXEBydv_YO45TnhqPTDQ	Entertainment	""""""	None	3	Music	"[""-H-_VyOkkpU"", ""2jIFhqunWg8"", ""3TK5zDTG3sQ"", ""5IUyJTefvsE"", ""6LfgWA8xLWs"", ""Cp6TDh0Ekbg"", ""DPH1EtTcMAo"", ""DZk16EtnlBk"", ""HhvOO3sn83Y"", ""I2nXXqm8qzY"", ""IYJFtNlQ3P4"", ""MiyjlLDcV_o"", ""Msh2MBbgw5k"", ""O03Rkbhgto0"", ""PvVv74oCTLQ"", ""Q7Vy8zsD5GY"", ""RUZpkWRgYAE"", ""S8xeuaJwDFw"", ""T_UnlXNf4n4"", ""Vj3cYcz8bSo"", ""YDahUwL9H-Y"", ""ZreCJVnl3e8"", ""cuH1fj-hblc"", ""fsjFXJKB2S0"", ""hDfUroKX6zo"", ""j_q7Ip8IG6c"", ""oEaMv_g9aYs"", ""oO_njuqMSeI"", ""rC0a61PoNww"", ""rt8ij1hy2nk"", ""t-esM6nW8rg"", ""yqpwRP0uwMY""]"	32	ChocolaTV	Freak TV
158	7965	UCqPOHbRVKeBUSjE68aEpQJQ	People & Blogs	"[""965"", ""6459"", ""7965""]"	None	3	Lifestyle	UCiEuCYYaGHZc4zsvSDZFM9Q	Comedy	""""""	Studio71	3	Entertainment	"[""07eXntPlax8"", ""4kkoI9soDPQ"", ""5YvJMKFA_DI"", ""5ZURNK7tsCM"", ""7Ahlu9vKVFA"", ""7Dj-WkgI0AI"", ""8yrzQE-yVrI"", ""9IqVoZXC9r4"", ""Bs_-Xv1-4qg"", ""EXSzTrgHiJY"", ""FSwDwpHD1kc"", ""FcSZzACkKdQ"", ""H1mPWQRQApI"", ""KDUFPe_0k0E"", ""KgRhsIGOyT0"", ""NgnO_FCJLns"", ""T2eBmTgbJXg"", ""U5LrjGIk0kw"", ""UlZqjfHpE1w"", ""b7eCJK7iaOc"", ""hiGPSpW9ZI0"", ""ikz4n369dhY"", ""ixFIvhr6KOo"", ""kjQMFEgXr6Y"", ""lPJBGqOgRRs"", ""qISa_KDAq54"", ""rZ1zPXC8F_E"", ""rzRU_jwKzBI"", ""tXzQWUKa_pg""]"	29	Ashley & Nate	NatesLife
797	6626	UCNRfqSkBqZR8Ge_QnfwqgFQ	People & Blogs	"[""6626""]"	Studio71	3	Lifestyle	UCsxMvzm3AumF6SHsQBva-AA	Entertainment	"[""5566"", ""7683"", ""10807""]"	None	2	Lifestyle	"[""-TY0Rr9q8MM"", ""4FDM62p7fHI"", ""5QBmOx1iUDk"", ""8TxKO-dqwEo"", ""AhYken3_yb4"", ""C4OgslgfJUY"", ""DAiweTtlIrw"", ""FI1SjcqA5lM"", ""Jn0CSgwoIF8"", ""LO2CokZSgG8"", ""O4Hb60Ql-dY"", ""Q1VGrMdl3R8"", ""Vtcqx-79LAg"", ""WmcLWnU_xM8"", ""clrVW-olX5Q"", ""fu0cYx2kRH4"", ""g-b2L4w5z5Q"", ""gibKkO9SHkc"", ""hmusxkiGLi8"", ""iSeNemAkGbo"", ""kJmNcroqOhA"", ""kmMpzDC1QvQ"", ""uxifsHe9V88"", ""v8W7s_9vHHI"", ""vi3l_76_fU4"", ""xjub8m_vXHo"", ""xnetZ78WSbw"", ""zkdq8J3mxI4""]"	28	WengieVlogs	Maxmellow
912	7062	UCDDgfKQE3eaD1H08VHRAfig	People & Blogs	"[""7062""]"	Studio71	3	Lifestyle	UCtxvq4aq_o6yYQjCXGyuawQ	Comedy	""""""	lacapula	3	Lifestyle	"[""-AH27cGdk2o"", ""2Gc8gx9zIEU"", ""4Dj0lgU0LmE"", ""6toC1FNGOIs"", ""8GPlM9QvkC0"", ""ANko0kXIt-0"", ""Ezuh3Wh3M6g"", ""O0vuEwbUejE"", ""Q21qTfXkmXE"", ""S-VszbhkJZM"", ""TTgAUVCXpEo"", ""W9FMLZQYB8o"", ""bndp9Mslf_I"", ""dEHAqGRaWgI"", ""eVTi22k_ge8"", ""ebrHp5531nM"", ""hi_oO7NLlq0"", ""jTxCMQj93v4"", ""n4Vp1RrFDAA"", ""nISBYSi2zQY"", ""rKgqhB0Q0DI"", ""t6aNDsH0NSE"", ""udY4xDysa5A"", ""v9_4pojxUTs"", ""wdMxbzFYFLw"", ""x9YSuL9AIxs"", ""xEhGhrW_w_4""]"	27	PontiacMadeDDG VLOGS	PontiacMadeDDG
