	from_network	to_network	nof_collabs
30	BroadbandTV	BroadbandTV	664
304	Studio71	Studio71	411
172	Maker Studios	Maker Studios	364
228	None	None	258
207	None	BroadbandTV	228
49	BroadbandTV	None	168
301	Studio71	None	150
237	None	Studio71	110
225	None	Maker Studios	107
175	Maker Studios	None	93
161	Maker Studios	BroadbandTV	57
46	BroadbandTV	Maker Studios	47
170	Maker Studios	Fullscreen	34
327	StyleHaul	StyleHaul	32
42	BroadbandTV	Fullscreen	29
286	Studio71	BroadbandTV	28
126	Fullscreen	Maker Studios	28
314	Studio71	lacapula	27
227	None	Mixicom	27
254	PranksNetwork	PranksNetwork	25
299	Studio71	Maker Studios	25
129	Fullscreen	None	25
220	None	Fullscreen	22
26	BroadbandTV	AIR	22
321	StyleHaul	Maker Studios	20
120	Fullscreen	BroadbandTV	20
270	Social Blade Legacy	Maker Studios	19
309	Studio71	TubeOne	18
85	Curse	BroadbandTV	17
181	Maker Studios	Studio71	17
259	ScaleLab	BroadbandTV	16
54	BroadbandTV	ScaleLab	16
273	Social Blade Legacy	Social Blade Legacy	14
59	BroadbandTV	StyleHaul	14
308	Studio71	TimeWarner	14
316	StyleHaul	BroadbandTV	13
294	Studio71	Fullscreen	12
9	AwesomenessTV	Studio71	12
231	None	PranksNetwork	12
396	wizdeo	Social Blade Legacy	12
65	BroadbandTV	onerpmweb affiliate	11
213	None	DDNPartners	11
179	Maker Studios	Social Blade Legacy	11
131	Fullscreen	Studio71	11
124	Fullscreen	Fullscreen	10
238	None	StyleHaul	10
123	Fullscreen	Freedom!	9
200	Nerdist	TimeWarner	8
399	wizdeo managed	wizdeo managed	8
323	StyleHaul	None	8
293	Studio71	Freedom!	7
245	None	disney interactive	7
15	BigFrame	Studio71	7
326	StyleHaul	Studio71	6
347	TubeOne	Studio71	6
234	None	ScaleLab	6
196	Mixicom	Mixicom	6
400	wjoPtSoNLAoX2sLBaKLYng	BroadbandTV	6
191	Maker Studios	onerpmweb affiliate	6
274	Social Blade Legacy	Studio71	5
265	ScaleLab	None	5
248	None	onerpmweb affiliate	5
58	BroadbandTV	Studio71	5
362	YouPartnerVSP	None	5
55	BroadbandTV	SiriusStarNetwork	5
163	Maker Studios	Curse	5
380	onerpmweb affiliate	BroadbandTV	5
47	BroadbandTV	Mitu	5
385	onerpmweb affiliate	None	5
277	Social Blade Legacy	wizdeo	4
91	DDNPartners	None	4
166	Maker Studios	Divimove IT affiliated	4
84	Creators Revolution	PranksNetwork	4
82	Complex Media	None	4
160	Maker Studios	Break	4
27	BroadbandTV	Age of Media	4
75	ClassicClipsTV	BroadbandTV	4
285	Studio71	BigFrame	4
194	Mitu	BroadbandTV	4
302	Studio71	PranksNetwork	4
305	Studio71	StyleHaul	4
41	BroadbandTV	Freedom!	4
183	Maker Studios	Toms Hardware	3
151	Machinima	BroadbandTV	3
13	BigFrame	Maker Studios	3
8	AwesomenessTV	None	3
11	BentPixels	Machinima	3
155	Machinima	Studio71	3
187	Maker Studios	WhistleSportsFitness	3
363	YouPartnerVSP	YouPartnerVSP	3
236	None	Social Blade Legacy	3
21	BodyMindZone	None	3
241	None	TubeOne	3
132	Fullscreen	StyleHaul	3
93	DevLounge	BuzzMyVideos	3
35	BroadbandTV	DigiSayLimited Managed	3
116	Fullscreen	Alloy	3
