	from_channel	from_category	from_cluster	from_popularity	to_channel	to_category	to_cluster	to_popularity	videos	weight
2	Nellis	Entertainment	"[""5556"", ""5884"", ""7050""]"	2	Kosh	Gaming	"[""4139"", ""7049""]"	3	"[""4cEkXTIcvH4""]"	1
103	The Onion	Comedy	"[""3419""]"	3	MrRepzion	Gaming	"[""2909""]"	3	"[""K39Uz3C-X38""]"	1
144	Adrenaline Addiction	Entertainment	"[""568""]"	3	Александр Дроп	Gaming	"[""8426"", ""8427"", ""8428"", ""9256"", ""13272""]"	0	"[""HUvRIJPy9qw""]"	1
182	Danilo Crespo	People & Blogs	"[""8117"", ""8625""]"	3	AM3NlC	Gaming	"[""2337"", ""4300""]"	4	"[""fxTNGyqHP04""]"	1
253	SPACE FROGS	Entertainment	"[""4118""]"	3	DoktorFroid	Gaming	""""""	3	"[""STHitJPcBmU""]"	1
310	MrPianitza	Comedy	"[""757"", ""2336"", ""5101"", ""6414"", ""7334"", ""8197"", ""8419"", ""8493"", ""9151"", ""10209"", ""10293"", ""11783"", ""11784"", ""13067"", ""13261"", ""13458"", ""13491""]"	2	D4LYM0TI0N™	Gaming	"[""8099""]"	3	"[""OBsVxQALUQg""]"	1
396	OMMyGoshTV	Entertainment	"[""2374"", ""2459"", ""2644"", ""2701"", ""6668""]"	3	Александр Дроп	Gaming	"[""8426"", ""8427"", ""8428"", ""9256"", ""13272""]"	0	"[""6K5YcFP09Cg""]"	1
398	Souza Itiro	Entertainment	"[""1182"", ""7139"", ""13530""]"	1	Action	Gaming	"[""11052""]"	0	"[""oHr3thAqmb0""]"	1
462	LeFloid	Entertainment	"[""2723""]"	4	DoktorFroid	Gaming	""""""	3	"[""STHitJPcBmU""]"	1
465	Sleep & Dream Zone	Music	"[""12350""]"	2	AdamsonShow	Gaming	"[""6845""]"	4	"[""I_zfGSNFU8Y""]"	1
