	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	6	1.0	0.183163544511
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.152005068213
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	6	0.935918942155	0.183163544511
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.152005068213
3	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.152005068213
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	6	1.0	0.183163544511
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	5	0.993080418918	0.152005068213
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	6	1.0	0.183163544511
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	10	1.0	0.133632693598
44	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	36	0.724704063311	0.112005369102
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	10	0.963941077583	0.133632693598
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	10	0.942515641486	0.133632693598
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	38	0.979240623854	0.163802672408
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	10	1.0	0.133632693598
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	39	0.935582624627	0.136893716532
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	39	0.98570620501	0.136893716532
12	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	39	1.0	0.136893716532
13	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	39	1.0	0.136893716532
15	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	39	0.966050556262	0.136893716532
18	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	39	0.995144946207	0.136893716532
19	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	39	0.964602738281	0.136893716532
