	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	35	0.802857403091	0.0521080883003
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	29	1.0	0.0560255711819
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	35	0.885001382351	0.0521080883003
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	29	0.977111642317	0.0560255711819
2	543	rAXYNd1CA9A	34.1341	UC1LG7YDL7OLD6VvdPAmyjiA	52	0.752760769982	0.0626074877068
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	35	1.0	0.0521080883003
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	29	1.0	0.0560255711819
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	35	1.0	0.0521080883003
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	18	0.705543891911	0.0722720501886
44	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	55	0.658057430212	0.0504155337625
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	18	0.826102029959	0.0722720501886
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	18	0.895149522897	0.0722720501886
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	69	1.0	0.0530860112077
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	18	1.0	0.0722720501886
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.945556625918	0.0631811557179
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.78138418146	0.0631811557179
12	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
13	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
15	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
18	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
19	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.923088834764	0.0631811557179
20	116	CqugMysYaIM	204.071	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.880256454326	0.0631811557179
28	125	EJh2HxD2YYg	121.021	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.969862920742	0.0631811557179
36	130	MrjF_C7lWKM	225.859	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
17	113	aqIOxteRj6c	322.789	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.902858415469	0.0631811557179
21	117	ctv97Mj5iaI	87.4207	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
22	118	ctv97Mj5iaI	101.635	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.824114586422	0.0631811557179
24	127	d3g2tUCAEHQ	238.305	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
29	126	ht9BRzbz9j4	250.851	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
31	139	hzBk_Q1gA_g	161.728	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
32	141	hzBk_Q1gA_g	34.7347	UC2bYhAHyaqfWlPXWBVk4BcA	72	0.650440294226	0.0639134957772
34	146	mmX-F7I4NYA	265.298	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
37	134	pUOiGPTZMhQ	204.504	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
39	151	t08qE40UByc	338.071	UC2bYhAHyaqfWlPXWBVk4BcA	70	0.940275264212	0.0631811557179
40	147	yIa7B8UF384	113.413	UC2bYhAHyaqfWlPXWBVk4BcA	70	1.0	0.0631811557179
50	310	1WEosoTt-7s	400.248	UC45zwHCRNT5jA8sC5DUW7oQ	55	1.0	0.0504155337625
52	299	6aDheKJXEZw	79.2651	UC45zwHCRNT5jA8sC5DUW7oQ	55	1.0	0.0504155337625
53	300	6aDheKJXEZw	15.7995	UC45zwHCRNT5jA8sC5DUW7oQ	55	0.762250401688	0.0504155337625
