	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	3	1.0	0.104718363027
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.0816517468478
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	3	0.910370179583	0.104718363027
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.0816517468478
3	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	5	0.944203340939	0.0816517468478
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	3	1.0	0.104718363027
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.0816517468478
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	3	1.0	0.104718363027
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	15	0.891534144434	0.0879827915223
44	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	37	0.734961983197	0.0684770964278
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	15	0.996409359006	0.0879827915223
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	15	1.0	0.0879827915223
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	27	0.93272711183	0.112412728771
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	15	1.0	0.0879827915223
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.892047884897	0.11888793393
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.851056731117	0.11888793393
12	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.994031104732	0.11888793393
13	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.994031104732	0.11888793393
15	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.959088578578	0.11888793393
18	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.896093689874	0.11888793393
19	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.85336756381	0.11888793393
20	116	CqugMysYaIM	204.071	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.88564298758	0.11888793393
28	125	EJh2HxD2YYg	121.021	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.85243450845	0.11888793393
36	130	MrjF_C7lWKM	225.859	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.785513782063	0.11888793393
17	113	aqIOxteRj6c	322.789	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.905876073023	0.11888793393
21	117	ctv97Mj5iaI	87.4207	UC2bYhAHyaqfWlPXWBVk4BcA	28	1.0	0.11888793393
22	118	ctv97Mj5iaI	101.635	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.714209542065	0.11888793393
24	127	d3g2tUCAEHQ	238.305	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.93563381007	0.11888793393
29	126	ht9BRzbz9j4	250.851	UC2bYhAHyaqfWlPXWBVk4BcA	28	1.0	0.11888793393
31	139	hzBk_Q1gA_g	161.728	UC2bYhAHyaqfWlPXWBVk4BcA	28	1.0	0.11888793393
34	146	mmX-F7I4NYA	265.298	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.938410639677	0.11888793393
37	134	pUOiGPTZMhQ	204.504	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.973870068881	0.11888793393
39	151	t08qE40UByc	338.071	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.834561137215	0.11888793393
40	147	yIa7B8UF384	113.413	UC2bYhAHyaqfWlPXWBVk4BcA	28	0.953593199175	0.11888793393
48	263	1EUt85Apcbg	28.2525	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.707343188894	0.0684770964278
50	310	1WEosoTt-7s	400.248	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.883352912018	0.0684770964278
52	299	6aDheKJXEZw	79.2651	UC45zwHCRNT5jA8sC5DUW7oQ	37	1.0	0.0684770964278
53	300	6aDheKJXEZw	15.7995	UC45zwHCRNT5jA8sC5DUW7oQ	37	1.0	0.0684770964278
57	292	GDFa5kL9ng8	228.272	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.909292071236	0.0684770964278
61	328	HuX4szgyXlI	262.679	UC45zwHCRNT5jA8sC5DUW7oQ	27	0.948732992603	0.112412728771
62	329	HuX4szgyXlI	221.644	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.811627476532	0.0684770964278
64	324	SIlvvCrso1s	238.506	UC45zwHCRNT5jA8sC5DUW7oQ	15	1.0	0.0879827915223
65	325	SIlvvCrso1s	264.951	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.710865558857	0.0684770964278
68	319	ZdE96tb6hWg	265.274	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.889996799566	0.0684770964278
69	320	ZdE96tb6hWg	49.3394	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.711701714049	0.0684770964278
70	321	ZdE96tb6hWg	13.724	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.708985746573	0.0684770964278
54	289	bRIrLzMxYus	199.317	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.710403752853	0.0684770964278
55	290	bRIrLzMxYus	28.0817	UC45zwHCRNT5jA8sC5DUW7oQ	1	1.0	0.179751206624
58	304	hLNnT2qQ8RU	270.227	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.798459473789	0.0684770964278
63	306	pyRn9o-jC8s	287.547	UC45zwHCRNT5jA8sC5DUW7oQ	37	0.674426377584	0.0684770964278
71	451	1BqvxnuhE_w	44.8448	UC70WKHZ1X9qIXWmNr0qHGmw	9	0.930155073085	0.0811002763619
72	456	3wMRYYtqH2Q	69.6696	UC70WKHZ1X9qIXWmNr0qHGmw	9	1.0	0.0811002763619
74	488	4qlNnrUdBfE	75.075	UC70WKHZ1X9qIXWmNr0qHGmw	9	1.0	0.0811002763619
76	466	EkKhXt_MpWs	61.7283	UC70WKHZ1X9qIXWmNr0qHGmw	9	0.990210788079	0.0811002763619
79	473	GBCxYaCv_Xw	73.8738	UC70WKHZ1X9qIXWmNr0qHGmw	9	0.997456367077	0.0811002763619
