	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	2	1.0	0.176391921338
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	5	0.986344917144	0.0956511198884
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	2	0.895777777522	0.176391921338
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.0956511198884
3	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	5	0.980298891222	0.0956511198884
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	2	1.0	0.176391921338
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.0956511198884
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	2	1.0	0.176391921338
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	3	0.904158505831	0.12986711304
44	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	33	0.801479148049	0.102710819477
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	3	0.997399369578	0.12986711304
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	3	0.980952023847	0.12986711304
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	36	0.941006036945	0.164507769799
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	3	1.0	0.12986711304
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	37	0.90876618892	0.156395200729
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	37	0.935684462004	0.156395200729
