	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	9	0.877710605124	0.336363218025
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	10	0.915287902218	0.224430150127
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	9	0.451450047646	0.336363218025
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	10	1.0	0.224430150127
3	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	10	0.928211562471	0.224430150127
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	9	1.0	0.336363218025
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	10	1.0	0.224430150127
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	9	1.0	0.336363218025
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	8	1.0	0.128491401545
44	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	39	1.0	0.0690561717418
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	8	1.0	0.128491401545
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	8	0.88439921463	0.128491401545
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	41	1.0	0.107170154666
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	8	1.0	0.128491401545
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
12	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
13	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
15	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
18	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
19	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
20	116	CqugMysYaIM	204.071	UC2bYhAHyaqfWlPXWBVk4BcA	40	0.73142956268	0.195476668331
28	125	EJh2HxD2YYg	121.021	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
36	130	MrjF_C7lWKM	225.859	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
17	113	aqIOxteRj6c	322.789	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
21	117	ctv97Mj5iaI	87.4207	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
22	118	ctv97Mj5iaI	101.635	UC2bYhAHyaqfWlPXWBVk4BcA	40	0.715115364843	0.195476668331
24	127	d3g2tUCAEHQ	238.305	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
29	126	ht9BRzbz9j4	250.851	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
31	139	hzBk_Q1gA_g	161.728	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
34	146	mmX-F7I4NYA	265.298	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
37	134	pUOiGPTZMhQ	204.504	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
39	151	t08qE40UByc	338.071	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
40	147	yIa7B8UF384	113.413	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.195476668331
48	263	1EUt85Apcbg	28.2525	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
50	310	1WEosoTt-7s	400.248	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
52	299	6aDheKJXEZw	79.2651	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
53	300	6aDheKJXEZw	15.7995	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
57	292	GDFa5kL9ng8	228.272	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
61	328	HuX4szgyXlI	262.679	UC45zwHCRNT5jA8sC5DUW7oQ	41	1.0	0.107170154666
62	329	HuX4szgyXlI	221.644	UC45zwHCRNT5jA8sC5DUW7oQ	39	0.890665929849	0.0690561717418
64	324	SIlvvCrso1s	238.506	UC45zwHCRNT5jA8sC5DUW7oQ	8	1.0	0.128491401545
65	325	SIlvvCrso1s	264.951	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
68	319	ZdE96tb6hWg	265.274	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
69	320	ZdE96tb6hWg	49.3394	UC45zwHCRNT5jA8sC5DUW7oQ	39	0.768488457173	0.0690561717418
54	289	bRIrLzMxYus	199.317	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
55	290	bRIrLzMxYus	28.0817	UC45zwHCRNT5jA8sC5DUW7oQ	20	0.785316703304	0.169180248645
58	304	hLNnT2qQ8RU	270.227	UC45zwHCRNT5jA8sC5DUW7oQ	39	0.879995865015	0.0690561717418
63	306	pyRn9o-jC8s	287.547	UC45zwHCRNT5jA8sC5DUW7oQ	39	1.0	0.0690561717418
71	451	1BqvxnuhE_w	44.8448	UC70WKHZ1X9qIXWmNr0qHGmw	30	0.95065807705	0.117239693561
72	456	3wMRYYtqH2Q	69.6696	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
74	488	4qlNnrUdBfE	75.075	UC70WKHZ1X9qIXWmNr0qHGmw	29	0.728008011076	0.0801465401951
76	466	EkKhXt_MpWs	61.7283	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
79	473	GBCxYaCv_Xw	73.8738	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.0801465401951
80	474	GBCxYaCv_Xw	11.1111	UC70WKHZ1X9qIXWmNr0qHGmw	68	1.0	0.25157562562
89	480	Otvxw9mT8n0	65.8324	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
90	481	Otvxw9mT8n0	22.1888	UC70WKHZ1X9qIXWmNr0qHGmw	37	1.0	0.0591195682962
94	487	Sbh1l-uKlzg	59.0256	UC70WKHZ1X9qIXWmNr0qHGmw	29	0.817580811549	0.0801465401951
95	493	TGQTGAxsT0Y	45.5121	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.0801465401951
96	484	TO93lGyUsU8	53.7537	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
97	494	XCr2HPxyK7I	56.0894	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
98	495	YwWlHTB1Ya4	42.3423	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
99	498	Zec3Op2Vr_Q	47.681	UC70WKHZ1X9qIXWmNr0qHGmw	30	1.0	0.117239693561
81	477	gr-O-4bnqsk	38.1047	UC70WKHZ1X9qIXWmNr0qHGmw	29	0.790719990945	0.0801465401951
83	501	jUqrx5RUJX4	17.2172	UC70WKHZ1X9qIXWmNr0qHGmw	35	1.0	0.103102665599
84	502	jUqrx5RUJX4	230.297	UC70WKHZ1X9qIXWmNr0qHGmw	29	0.734576330078	0.0801465401951
85	503	jUqrx5RUJX4	14.2142	UC70WKHZ1X9qIXWmNr0qHGmw	47	1.0	0.0880331161509
88	506	jUqrx5RUJX4	28.395	UC70WKHZ1X9qIXWmNr0qHGmw	23	1.0	0.0644927922276
91	507	r5Bhgqxl4iM	414.481	UC70WKHZ1X9qIXWmNr0qHGmw	29	0.733534095632	0.0801465401951
101	13	2Ia8-ihCg-8	36.9035	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
102	14	2Ia8-ihCg-8	32.3657	UC7CEVQbvZ6-uy6TRH_c6scg	83	0.702520359049	0.115427181664
103	16	79Wql8OmL3o	40.2736	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
106	4	9wxF1UC1rWY	38.5051	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
125	29	CQtftDuEhy0	17.5509	UC7CEVQbvZ6-uy6TRH_c6scg	23	1.0	0.0644927922276
127	31	CQtftDuEhy0	63.7303	UC7CEVQbvZ6-uy6TRH_c6scg	47	1.0	0.0880331161509
128	32	CQtftDuEhy0	74.9082	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
129	33	CQtftDuEhy0	47.9479	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.878699809129	0.103102665599
135	41	Iczb5exOpLs	273.54	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
136	42	Iczb5exOpLs	66.9002	UC7CEVQbvZ6-uy6TRH_c6scg	83	1.0	0.115427181664
140	26771	R877MkpxxUU	34.9349	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
141	26772	R877MkpxxUU	7.5075	UC7CEVQbvZ6-uy6TRH_c6scg	38	0.592105484885	0.364907201483
142	26773	R877MkpxxUU	0.633967	UC7CEVQbvZ6-uy6TRH_c6scg	68	0.545469021986	0.25157562562
143	26774	R877MkpxxUU	7.5075	UC7CEVQbvZ6-uy6TRH_c6scg	25	0.488836719444	0.370295756128
144	43	UFfFaSM2b8A	575.375	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
145	45	UFfFaSM2b8A	128.462	UC7CEVQbvZ6-uy6TRH_c6scg	83	1.0	0.115427181664
151	19	ZV0LbCU3QSQ	44.411	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
108	56	almp1Eo1LO0	576.409	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.695191459215	0.103102665599
114	9	bsLG6JpGzWg	30.7974	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
117	1	cF4yvjbQgL0	0.6006	UC7CEVQbvZ6-uy6TRH_c6scg	12	1.0	0.0514461014328
118	2	cF4yvjbQgL0	29.3627	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.988809911932	0.103102665599
130	15	d9EUOkCt1aU	44.411	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
131	22	e_lgoIriXf8	41.7751	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
133	21	g7iLJqafwzk	42.6426	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
134	12	gg33UczgsUI	39.1057	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
137	49	mX10Ifcg3tk	60.2602	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.779908347181	0.103102665599
138	50	mX10Ifcg3tk	67.5675	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.98908336068	0.103102665599
139	51	mX10Ifcg3tk	89.089	UC7CEVQbvZ6-uy6TRH_c6scg	35	0.889603367686	0.103102665599
146	26791	v5176SOv28M	53.7203	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
148	34	y9LqQMSZ0zU	48.1481	UC7CEVQbvZ6-uy6TRH_c6scg	35	1.0	0.103102665599
154	265	Af5jV9lZJAc	418.084	UC8aTvyjY38Qf5rS1xBOWI3w	64	1.0	0.215378271827
155	266	Af5jV9lZJAc	476.843	UC8aTvyjY38Qf5rS1xBOWI3w	43	1.0	0.199410240868
173	258	UIc8aK4WsN4	457.057	UC8aTvyjY38Qf5rS1xBOWI3w	42	1.0	0.119165494841
156	253	jcB_Q7uVr78	95.462	UC8aTvyjY38Qf5rS1xBOWI3w	42	1.0	0.119165494841
174	259	wpcfugXwWFQ	105.539	UC8aTvyjY38Qf5rS1xBOWI3w	64	0.695336013484	0.215378271827
176	261	wpcfugXwWFQ	221.755	UC8aTvyjY38Qf5rS1xBOWI3w	42	0.868388388919	0.119165494841
179	743	395DPCLQfQw	62.3623	UCB826yhc1dm8-MEX1x55yAQ	22	1.0	0.162624166288
181	771	5yZgm-IhG0A	43.6436	UCB826yhc1dm8-MEX1x55yAQ	22	1.0	0.162624166288
183	807	EOyfUb8ikoo	57.8912	UCB826yhc1dm8-MEX1x55yAQ	22	1.0	0.162624166288
186	812	FpxLIqmFWfY	103.403	UCB826yhc1dm8-MEX1x55yAQ	22	1.0	0.162624166288
191	833	PhEWVXntA4I	32.9996	UCB826yhc1dm8-MEX1x55yAQ	22	0.911667428723	0.162624166288
193	832	PxYHFVzfuS0	78.7787	UCB826yhc1dm8-MEX1x55yAQ	22	1.0	0.162624166288
198	848	QxrQ-GvV40c	86.7533	UCB826yhc1dm8-MEX1x55yAQ	22	0.923409981605	0.162624166288
204	841	YnGnGpqCVSQ	97.8978	UCB826yhc1dm8-MEX1x55yAQ	22	0.965822386072	0.162624166288
205	842	YnGnGpqCVSQ	11.6116	UCB826yhc1dm8-MEX1x55yAQ	69	1.0	0.335483358138
206	843	YnGnGpqCVSQ	10.644	UCB826yhc1dm8-MEX1x55yAQ	38	1.0	0.364907201483
