	id	videoID	duration	channel	label	proba	pers
0	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	10	0.929414736245	0.327851258084
1	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	8	0.872321070774	0.224823741117
5	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	10	0.502453480925	0.327851258084
6	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	8	1.0	0.224823741117
3	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	8	0.849024720768	0.224823741117
4	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	10	1.0	0.327851258084
7	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	8	1.0	0.224823741117
8	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	10	1.0	0.327851258084
41	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	13	1.0	0.136821100932
45	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	13	1.0	0.136821100932
46	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	13	0.812757752175	0.136821100932
42	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	41	1.0	0.100136093939
43	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	13	1.0	0.136821100932
9	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
11	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
12	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
13	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
15	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
18	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
19	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
20	116	CqugMysYaIM	204.071	UC2bYhAHyaqfWlPXWBVk4BcA	40	0.723152081087	0.204335495732
28	125	EJh2HxD2YYg	121.021	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
36	130	MrjF_C7lWKM	225.859	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
17	113	aqIOxteRj6c	322.789	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
21	117	ctv97Mj5iaI	87.4207	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
22	118	ctv97Mj5iaI	101.635	UC2bYhAHyaqfWlPXWBVk4BcA	40	0.721402399797	0.204335495732
24	127	d3g2tUCAEHQ	238.305	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
29	126	ht9BRzbz9j4	250.851	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
31	139	hzBk_Q1gA_g	161.728	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
34	146	mmX-F7I4NYA	265.298	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
37	134	pUOiGPTZMhQ	204.504	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
39	151	t08qE40UByc	338.071	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
40	147	yIa7B8UF384	113.413	UC2bYhAHyaqfWlPXWBVk4BcA	40	1.0	0.204335495732
48	263	1EUt85Apcbg	28.2525	UC45zwHCRNT5jA8sC5DUW7oQ	44	0.731532023092	0.0774853951917
50	310	1WEosoTt-7s	400.248	UC45zwHCRNT5jA8sC5DUW7oQ	43	0.772012008932	0.0971440493078
52	299	6aDheKJXEZw	79.2651	UC45zwHCRNT5jA8sC5DUW7oQ	43	0.831864068179	0.0971440493078
53	300	6aDheKJXEZw	15.7995	UC45zwHCRNT5jA8sC5DUW7oQ	43	0.804345225785	0.0971440493078
57	292	GDFa5kL9ng8	228.272	UC45zwHCRNT5jA8sC5DUW7oQ	43	1.0	0.0971440493078
61	328	HuX4szgyXlI	262.679	UC45zwHCRNT5jA8sC5DUW7oQ	41	1.0	0.100136093939
64	324	SIlvvCrso1s	238.506	UC45zwHCRNT5jA8sC5DUW7oQ	13	1.0	0.136821100932
68	319	ZdE96tb6hWg	265.274	UC45zwHCRNT5jA8sC5DUW7oQ	43	1.0	0.0971440493078
54	289	bRIrLzMxYus	199.317	UC45zwHCRNT5jA8sC5DUW7oQ	44	1.0	0.0774853951917
55	290	bRIrLzMxYus	28.0817	UC45zwHCRNT5jA8sC5DUW7oQ	11	0.844252289465	0.1947957548
63	306	pyRn9o-jC8s	287.547	UC45zwHCRNT5jA8sC5DUW7oQ	43	0.882399282756	0.0971440493078
71	451	1BqvxnuhE_w	44.8448	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
72	456	3wMRYYtqH2Q	69.6696	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
74	488	4qlNnrUdBfE	75.075	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
76	466	EkKhXt_MpWs	61.7283	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
79	473	GBCxYaCv_Xw	73.8738	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
80	474	GBCxYaCv_Xw	11.1111	UC70WKHZ1X9qIXWmNr0qHGmw	66	1.0	0.30195228719
89	480	Otvxw9mT8n0	65.8324	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
90	481	Otvxw9mT8n0	22.1888	UC70WKHZ1X9qIXWmNr0qHGmw	38	1.0	0.0655292785539
94	487	Sbh1l-uKlzg	59.0256	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
95	493	TGQTGAxsT0Y	45.5121	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
96	484	TO93lGyUsU8	53.7537	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
97	494	XCr2HPxyK7I	56.0894	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
98	495	YwWlHTB1Ya4	42.3423	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
99	498	Zec3Op2Vr_Q	47.681	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
81	477	gr-O-4bnqsk	38.1047	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
83	501	jUqrx5RUJX4	17.2172	UC70WKHZ1X9qIXWmNr0qHGmw	37	1.0	0.10389476953
84	502	jUqrx5RUJX4	230.297	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
85	503	jUqrx5RUJX4	14.2142	UC70WKHZ1X9qIXWmNr0qHGmw	46	1.0	0.0960705774573
91	507	r5Bhgqxl4iM	414.481	UC70WKHZ1X9qIXWmNr0qHGmw	29	1.0	0.107290312615
101	13	2Ia8-ihCg-8	36.9035	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
102	14	2Ia8-ihCg-8	32.3657	UC7CEVQbvZ6-uy6TRH_c6scg	87	0.675791044278	0.133294274609
103	16	79Wql8OmL3o	40.2736	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
106	4	9wxF1UC1rWY	38.5051	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
107	5	9wxF1UC1rWY	23.0564	UC7CEVQbvZ6-uy6TRH_c6scg	89	1.0	0.191652004853
127	31	CQtftDuEhy0	63.7303	UC7CEVQbvZ6-uy6TRH_c6scg	46	1.0	0.0960705774573
128	32	CQtftDuEhy0	74.9082	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
129	33	CQtftDuEhy0	47.9479	UC7CEVQbvZ6-uy6TRH_c6scg	37	0.881572198784	0.10389476953
135	41	Iczb5exOpLs	273.54	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
136	42	Iczb5exOpLs	66.9002	UC7CEVQbvZ6-uy6TRH_c6scg	87	1.0	0.133294274609
140	26771	R877MkpxxUU	34.9349	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
141	26772	R877MkpxxUU	7.5075	UC7CEVQbvZ6-uy6TRH_c6scg	39	0.369927086777	0.408923954632
142	26773	R877MkpxxUU	0.633967	UC7CEVQbvZ6-uy6TRH_c6scg	66	0.407354916071	0.30195228719
143	26774	R877MkpxxUU	7.5075	UC7CEVQbvZ6-uy6TRH_c6scg	26	0.373758293354	0.313284873969
144	43	UFfFaSM2b8A	575.375	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
145	45	UFfFaSM2b8A	128.462	UC7CEVQbvZ6-uy6TRH_c6scg	87	1.0	0.133294274609
151	19	ZV0LbCU3QSQ	44.411	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
108	56	almp1Eo1LO0	576.409	UC7CEVQbvZ6-uy6TRH_c6scg	37	0.679599998119	0.10389476953
114	9	bsLG6JpGzWg	30.7974	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
117	1	cF4yvjbQgL0	0.6006	UC7CEVQbvZ6-uy6TRH_c6scg	0	1.0	0.0878927683738
118	2	cF4yvjbQgL0	29.3627	UC7CEVQbvZ6-uy6TRH_c6scg	37	0.995157300221	0.10389476953
130	15	d9EUOkCt1aU	44.411	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
131	22	e_lgoIriXf8	41.7751	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
132	23	e_lgoIriXf8	37.9379	UC7CEVQbvZ6-uy6TRH_c6scg	89	1.0	0.191652004853
133	21	g7iLJqafwzk	42.6426	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
134	12	gg33UczgsUI	39.1057	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
137	49	mX10Ifcg3tk	60.2602	UC7CEVQbvZ6-uy6TRH_c6scg	37	0.777455335234	0.10389476953
138	50	mX10Ifcg3tk	67.5675	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
139	51	mX10Ifcg3tk	89.089	UC7CEVQbvZ6-uy6TRH_c6scg	37	0.907235358112	0.10389476953
146	26791	v5176SOv28M	53.7203	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
148	34	y9LqQMSZ0zU	48.1481	UC7CEVQbvZ6-uy6TRH_c6scg	37	1.0	0.10389476953
149	35	y9LqQMSZ0zU	42.5759	UC7CEVQbvZ6-uy6TRH_c6scg	89	0.663140148355	0.191652004853
153	252	5qwPM7N2ekA	332.432	UC8aTvyjY38Qf5rS1xBOWI3w	42	0.895739371887	0.0981029165248
154	265	Af5jV9lZJAc	418.084	UC8aTvyjY38Qf5rS1xBOWI3w	75	1.0	0.221798055449
155	266	Af5jV9lZJAc	476.843	UC8aTvyjY38Qf5rS1xBOWI3w	42	1.0	0.0981029165248
161	267	PXwYJmd_iTg	355.255	UC8aTvyjY38Qf5rS1xBOWI3w	42	0.88477376517	0.0981029165248
171	281	QqeDeD1v34c	23.6679	UC8aTvyjY38Qf5rS1xBOWI3w	42	1.0	0.0981029165248
173	258	UIc8aK4WsN4	457.057	UC8aTvyjY38Qf5rS1xBOWI3w	42	1.0	0.0981029165248
