	id	videoID	duration	channel	label	proba	pers
554	555	E0oQt8mtYK4	407.274	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.183163544511
555	556	E0oQt8mtYK4	393.36	UC1LG7YDL7OLD6VvdPAmyjiA	4	1.0	0.152005068213
557	558	TpwlVBgmrUc	370.871	UC1LG7YDL7OLD6VvdPAmyjiA	5	0.935918942155	0.183163544511
558	559	TpwlVBgmrUc	615.381	UC1LG7YDL7OLD6VvdPAmyjiA	4	1.0	0.152005068213
543	544	rAXYNd1CA9A	537.203	UC1LG7YDL7OLD6VvdPAmyjiA	4	1.0	0.152005068213
544	545	rAXYNd1CA9A	559.492	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.183163544511
559	560	yTM8ps35-24	544.677	UC1LG7YDL7OLD6VvdPAmyjiA	4	0.993080418918	0.152005068213
560	561	yTM8ps35-24	598.531	UC1LG7YDL7OLD6VvdPAmyjiA	5	1.0	0.183163544511
413	414	5uGpMmE7jQY	318.668	UC2FfW6_YHXUSfsndM2R37cQ	9	1.0	0.133632693598
433	434	F76ntKET30k	446.153	UC2FfW6_YHXUSfsndM2R37cQ	30	0.724704063311	0.112005369102
434	435	F76ntKET30k	471.496	UC2FfW6_YHXUSfsndM2R37cQ	9	0.963941077583	0.133632693598
416	417	V60JXBzi_Vc	480.942	UC2FfW6_YHXUSfsndM2R37cQ	9	0.942515641486	0.133632693598
414	415	cv22idODm9Y	239.773	UC2FfW6_YHXUSfsndM2R37cQ	32	0.979240623854	0.163802672408
415	416	cv22idODm9Y	222.889	UC2FfW6_YHXUSfsndM2R37cQ	9	1.0	0.133632693598
102	103	-AJuqXp5YLQ	189.823	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.933949070335	0.13700870147
79	80	-sOb5xtyfBI	261.294	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.983985133498	0.13700870147
104	105	1Bz2BnK3Lio	87.2205	UC2bYhAHyaqfWlPXWBVk4BcA	33	1.0	0.13700870147
107	108	3wDlEQ6wcPs	196.697	UC2bYhAHyaqfWlPXWBVk4BcA	33	1.0	0.13700870147
120	121	9fTVHcXrdK0	127.995	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.964363804081	0.13700870147
114	115	BiUF8qQrXMA	145.345	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.99340739438	0.13700870147
113	114	CmM5nUMA_SA	167.968	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.962918514031	0.13700870147
115	116	CqugMysYaIM	204.071	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.799522035518	0.13700870147
124	125	EJh2HxD2YYg	121.021	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.9374699917	0.13700870147
129	130	MrjF_C7lWKM	225.859	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.896141631038	0.13700870147
112	113	aqIOxteRj6c	322.789	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.969895571878	0.13700870147
116	117	ctv97Mj5iaI	87.4207	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.98509883702	0.13700870147
117	118	ctv97Mj5iaI	101.635	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.76933541216	0.13700870147
126	127	d3g2tUCAEHQ	238.305	UC2bYhAHyaqfWlPXWBVk4BcA	33	0.954367655997	0.13700870147
